Driving (Estimate),Straight Line,FromAddress,ToCity,ToState,Cost,ShippingTimeDays
375,334,Ontario,San Jose,California,8.48,4
75,66,Stockton ,San Jose,California,7.04,1
840,713,Tacoma,San Jose,California,8.48,4
1260,914,Denver,San Jose,California,8.48,4
1720,1386,Dallas,San Jose,California,10.57,6
2160,1747,Chicago,San Jose,California,11.61,6
2430,1973,Columbus,San Jose,California,11.61,7
2470,2140,Atlanta GA,San Jose,California,11.61,7
2760,2450,Orlando Florida,San Jose,California,11.61,7
2750,2348,Harrisburg,San Jose,California,11.61,7
2260,1815,Indianapolis,San Jose,California,11.61,6
1370,1171,Ontario,San Antonio,Texas,10.66,5
1730,1435,Stockton ,San Antonio,Texas,10.07,6
2130,1712,Tacoma,San Antonio,Texas,10.66,6
920,740,Denver,San Antonio,Texas,8.57,4
275,243,Dallas,San Antonio,Texas,7.4,1
1150,1007,Chicago,San Antonio,Texas,10.07,6
1380,1155,Columbus,San Antonio,Texas,10.66,6
980,874,Atlanta GA,San Antonio,Texas,8.57,4
1200,1048,Orlando Florida,San Antonio,Texas,10.07,4
1650,1390,Harrisburg,San Antonio,Texas,10.66,5
1190,925,Indianapolis,San Antonio,Texas,10.07,6
2700,2284,Ontario,Miami,Florida,11.7,7
3060,2585,Stockton ,Miami,Florida,11.7,7
3320,2723,Tacoma,Miami,Florida,11.7,7
2070,1723,Denver,Miami,Florida,10.66,6
1310,1110,Dallas,Miami,Florida,10.66,4
1380,1189,Chicago,Miami,Florida,10.07,6
1150,990,Columbus,Miami,Florida,10.07,5
660,605,Atlanta GA,Miami,Florida,7.4,5
235,204,Orlando Florida,Miami,Florida,7.4,1
1140,941,Harrisburg,Miami,Florida,8.57,5
1200,1025,Indianapolis,Miami,Florida,10.07,4
2780,2432,Ontario,New York,New York,11.7,7
2910,2536,Stockton ,New York,New York,11.7,7
2860,2402,Tacoma,New York,New York,11.7,7
1780,1620,Denver,New York,New York,10.66,6
1550,1304,Dallas,New York,New York,10.07,6
790,711,Chicago,New York,New York,8.57,5
540,466,Columbus,New York,New York,7.4,4
880,751,Atlanta GA,New York,New York,8.57,5
1080,940,Orlando Florida,New York,New York,8.57,5
172,155,Harrisburg,New York,New York,6.75,1
715,645,Indianapolis,New York,New York,8.57,4
2500,2154,Ontario,Pittsburgh,Pennsylvania,11.61,7
2620,2252,Stockton ,Pittsburgh,Pennsylvania,11.61,7
2520,2131,Tacoma,Pittsburgh,Pennsylvania,11.61,7
1450,1317,Denver,Pittsburgh,Pennsylvania,9.98,6
1210,1075,Dallas,Pittsburgh,Pennsylvania,9.98,6
460,410,Chicago,Pittsburgh,Pennsylvania,7.91,4
185,162,Columbus,Pittsburgh,Pennsylvania,7.4,1
685,603,Atlanta GA,Pittsburgh,Pennsylvania,7.91,5
960,855,Orlando Florida,Pittsburgh,Pennsylvania,8.48,4
205,170,Harrisburg,Pittsburgh,Pennsylvania,7.48,1
360,335,Indianapolis,Pittsburgh,Pennsylvania,7.91,4
2420,2082,Ontario,Charlotte,North Carolina,11.7,7
2780,2365,Stockton ,Charlotte,North Carolina,11.7,7
2820,2300,Tacoma,Charlotte,North Carolina,11.7,7
1560,1332,Denver,Charlotte,North Carolina,10.07,6
1020,930,Dallas,Charlotte,North Carolina,8.57,6
750,594,Chicago,Charlotte,North Carolina,8.57,4
430,370,Columbus,Charlotte,North Carolina,7.4,4
245,226,Atlanta GA,Charlotte,North Carolina,6.89,1
520,438,Orlando Florida,Charlotte,North Carolina,7.4,4
470,425,Harrisburg,Charlotte,North Carolina,7.4,4
580,495,Indianapolis,Charlotte,North Carolina,7.4,4
2240,1928,Ontario,Columbus,Ohio,11.7,7
2370,2034,Stockton ,Columbus,Ohio,11.7,7
2340,1937,Tacoma,Columbus,Ohio,11.7,7
1270,1154,Denver,Columbus,Ohio,10.07,6
1030,927,Dallas,Columbus,Ohio,8.57,6
355,315,Chicago,Columbus,Ohio,7.4,4
0,0,Columbus,Columbus,Ohio,6.75,1
565,464,Atlanta GA,Columbus,Ohio,7.4,4
950,815,Orlando Florida,Columbus,Ohio,8.57,4
370,315,Harrisburg,Columbus,Ohio,7.4,4
175,153,Indianapolis,Columbus,Ohio,6.89,1
2180,1895,Ontario,Atlanta,Georgia,11.61,7
2540,2184,Stockton ,Atlanta,Georgia,11.61,7
2650,2178,Tacoma,Atlanta,Georgia,11.61,7
1400,1215,Denver,Atlanta,Georgia,9.98,5
780,720,Dallas,Atlanta,Georgia,8.48,4
720,595,Chicago,Atlanta,Georgia,7.04,1
565,464,Columbus,Atlanta,Georgia,7.91,4
0,0,Atlanta GA,Atlanta,Georgia,7.04,1
440,393,Orlando Florida,Atlanta,Georgia,7.91,5
700,620,Harrisburg,Atlanta,Georgia,8.48,5
540,461,Indianapolis,Atlanta,Georgia,7.91,4
2030,1748,Ontario,Sycamore,Illinois,11.7,6
2080,1832,Stockton ,Sycamore,Illinois,10.66,6
2050,1735,Tacoma,Sycamore,Illinois,10.66,6
1000,835,Denver,Sycamore,Illinois,8.57,5
970,765,Dallas,Sycamore,Illinois,8.57,4
65,54,Chicago,Sycamore,Illinois,6.75,3
385,320,Columbus,Sycamore,Illinois,7.91,3
780,615,Atlanta GA,Sycamore,Illinois,8.57,4
1210,1025,Orlando Florida,Sycamore,Illinois,10.07,4
720,635,Harrisburg,Sycamore,Illinois,8.57,4
245,204,Indianapolis,Sycamore,Illinois,6.89,3
2650,2288,Ontario,Arlington,Virginia,11.7,7
2810,2420,Stockton ,Arlington,Virginia,11.7,7
2780,2320,Tacoma,Arlington,Virginia,11.7,7
1660,1478,Denver,Arlington,Virginia,10.66,6
1310,1185,Dallas,Arlington,Virginia,10.07,5
700,595,Chicago,Arlington,Virginia,7.4,5
410,345,Columbus,Arlington,Virginia,7.4,4
640,541,Atlanta GA,Arlington,Virginia,7.4,4
850,755,Orlando Florida,Arlington,Virginia,8.57,4
120,95,Harrisburg,Arlington,Virginia,6.75,1
590,495,Indianapolis,Arlington,Virginia,7.4,4
