Driving (Estimate),Straight Line,FromAddress,ToCity,ToState,Cost,ShippingTimeDays
375,334,Ontario,San Jose,California,8.48,2
75,66,Stockton ,San Jose,California,7.04,1
840,713,Tacoma,San Jose,California,8.48,2
1260,914,Denver,San Jose,California,8.48,2
1720,1386,Dallas,San Jose,California,10.57,3
2160,1747,Chicago,San Jose,California,11.61,4
2430,1973,Columbus,San Jose,California,11.61,4
2470,2140,Atlanta GA,San Jose,California,11.61,4
2760,2450,Orlando Florida,San Jose,California,11.61,4
2750,2348,Harrisburg,San Jose,California,11.61,4
2260,1815,Indianapolis,San Jose,California,11.61,4
672,525,Boise,San Jose,California,7.91,2
1370,1171,Ontario,San Antonio,Texas,10.66,3
1730,1435,Stockton ,San Antonio,Texas,10.07,3
2130,1712,Tacoma,San Antonio,Texas,10.66,4
920,740,Denver,San Antonio,Texas,8.57,2
275,243,Dallas,San Antonio,Texas,7.4,1
1150,1007,Chicago,San Antonio,Texas,10.07,3
1380,1155,Columbus,San Antonio,Texas,10.66,3
980,874,Atlanta GA,San Antonio,Texas,8.57,2
1200,1048,Orlando Florida,San Antonio,Texas,10.07,2
1650,1390,Harrisburg,San Antonio,Texas,10.66,3
1190,925,Indianapolis,San Antonio,Texas,10.07,3
1650,1390,Boise,San Antonio,Texas,13.21,4
2700,2284,Ontario,Miami,Florida,11.7,4
3060,2585,Stockton ,Miami,Florida,11.8,8
3320,2723,Tacoma,Miami,Florida,11.7,8
2070,1723,Denver,Miami,Florida,10.66,3
1310,1110,Dallas,Miami,Florida,10.66,2
1380,1189,Chicago,Miami,Florida,10.07,3
1150,990,Columbus,Miami,Florida,10.07,2
660,605,Atlanta GA,Miami,Florida,7.4,2
235,204,Orlando Florida,Miami,Florida,7.4,1
1140,941,Harrisburg,Miami,Florida,8.57,2
1200,1025,Indianapolis,Miami,Florida,10.07,3
2835,2375,Boise,Miami,Florida,7.91,8
2780,2432,Ontario,New York,New York,11.7,4
2910,2536,Stockton ,New York,New York,11.7,4
2860,2402,Tacoma,New York,New York,11.7,4
1780,1620,Denver,New York,New York,10.66,3
1550,1304,Dallas,New York,New York,10.07,3
790,711,Chicago,New York,New York,8.57,2
540,466,Columbus,New York,New York,7.4,2
