Driving (Estimate),Straight Line,FromAddress,ToCity,ToState,Cost,ShippingTimeDays
375,334,Ontario,San Jose,California,5.71,2
75,66,Stockton ,San Jose,California,5.58,3
840,713,Tacoma,San Jose,California,5.86,3
1260,914,Denver,San Jose,California,5.86,3
1720,1386,Dallas,San Jose,California,6.18,4
2160,1747,Chicago,San Jose,California,6.37,4
2430,1973,Columbus,San Jose,California,6.37,4
2470,2140,Atlanta GA,San Jose,California,6.37,4
2760,2450,Orlando Florida,San Jose,California,6.37,5
2750,2348,Harrisburg,San Jose,California,6.37,5
2260,1815,Indianapolis,San Jose,California,6.37,4
672,525,Boise,San Jose,California,5.71,3
1370,1171,Ontario,San Antonio,Texas,6.05,3
1730,1435,Stockton ,San Antonio,Texas,6.05,5
2130,1712,Tacoma,San Antonio,Texas,6.18,4
920,740,Denver,San Antonio,Texas,5.86,3
275,243,Dallas,San Antonio,Texas,5.64,2
1150,1007,Chicago,San Antonio,Texas,6.05,3
1380,1155,Columbus,San Antonio,Texas,6.05,3
980,874,Atlanta GA,San Antonio,Texas,5.86,3
1200,1048,Orlando Florida,San Antonio,Texas,6.05,3
1650,1390,Harrisburg,San Antonio,Texas,6.18,4
1190,925,Indianapolis,San Antonio,Texas,5.86,3
1650,1390,Boise,San Antonio,Texas,6.18,4
2700,2284,Ontario,Miami,Florida,6.37,5
3060,2585,Stockton ,Miami,Florida,6.37,5
3320,2723,Tacoma,Miami,Florida,6.37,5
2070,1723,Denver,Miami,Florida,6.18,4
1310,1110,Dallas,Miami,Florida,6.05,3
1380,1189,Chicago,Miami,Florida,6.05,3
1150,990,Columbus,Miami,Florida,5.86,3
660,605,Atlanta GA,Miami,Florida,5.71,3
235,204,Orlando Florida,Miami,Florida,5.64,2
1140,941,Harrisburg,Miami,Florida,6.05,3
1200,1025,Indianapolis,Miami,Florida,6.05,3
2835,2375,Boise,Miami,Florida,6.37,5
2780,2432,Ontario,New York,New York,6.37,5
2910,2536,Stockton ,New York,New York,6.37,5
2860,2402,Tacoma,New York,New York,6.37,5
1780,1620,Denver,New York,New York,6.18,4
1550,1304,Dallas,New York,New York,6.05,4
790,711,Chicago,New York,New York,5.86,3
540,466,Columbus,New York,New York,5.71,2
880,751,Atlanta GA,New York,New York,5.86,3
1080,940,Orlando Florida,New York,New York,5.86,3
172,155,Harrisburg,New York,New York,5.58,2
715,645,Indianapolis,New York,New York,5.86,3
2468,2065,Boise,New York,New York,6.37,5
2500,2154,Ontario,Pittsburgh,Pennsylvania,6.37,5
2620,2252,Stockton ,Pittsburgh,Pennsylvania,6.37,5
2520,2131,Tacoma,Pittsburgh,Pennsylvania,6.37,5
1450,1317,Denver,Pittsburgh,Pennsylvania,6.05,4
1210,1075,Dallas,Pittsburgh,Pennsylvania,6.05,3
460,410,Chicago,Pittsburgh,Pennsylvania,5.71,2
185,162,Columbus,Pittsburgh,Pennsylvania,5.64,2
685,603,Atlanta GA,Pittsburgh,Pennsylvania,5.71,3
960,855,Orlando Florida,Pittsburgh,Pennsylvania,5.86,3
205,170,Harrisburg,Pittsburgh,Pennsylvania,5.64,2
360,335,Indianapolis,Pittsburgh,Pennsylvania,5.71,2
2135,1875,Boise,Pittsburgh,Pennsylvania,6.37,4
2420,2082,Ontario,Charlotte,North Carolina,6.37,5
2780,2365,Stockton ,Charlotte,North Carolina,6.37,5
2820,2300,Tacoma,Charlotte,North Carolina,6.37,5
1560,1332,Denver,Charlotte,North Carolina,6.05,4
1020,930,Dallas,Charlotte,North Carolina,5.86,3
750,594,Chicago,Charlotte,North Carolina,5.71,3
430,370,Columbus,Charlotte,North Carolina,5.71,2
245,226,Atlanta GA,Charlotte,North Carolina,5.64,2
520,438,Orlando Florida,Charlotte,North Carolina,5.71,2
470,425,Harrisburg,Charlotte,North Carolina,5.71,2
580,495,Indianapolis,Charlotte,North Carolina,5.71,3
2332,1958,Boise,Charlotte,North Carolina,6.37,4
2240,1928,Ontario,Columbus,Ohio,6.37,4
2370,2034,Stockton ,Columbus,Ohio,6.37,5
2340,1937,Tacoma,Columbus,Ohio,6.37,5
1270,1154,Denver,Columbus,Ohio,6.05,3
1030,927,Dallas,Columbus,Ohio,5.86,3
355,315,Chicago,Columbus,Ohio,5.64,2
0,0,Columbus,Columbus,Ohio,5.49,2
565,464,Atlanta GA,Columbus,Ohio,5.71,3
950,815,Orlando Florida,Columbus,Ohio,5.86,3
370,315,Harrisburg,Columbus,Ohio,5.71,2
175,153,Indianapolis,Columbus,Ohio,5.64,2
"1,980",1750,Boise,Columbus,Ohio,6.18,4
2180,1895,Ontario,Atlanta,Georgia,6.37,4
2540,2184,Stockton ,Atlanta,Georgia,6.37,5
2650,2178,Tacoma,Atlanta,Georgia,6.37,5
1400,1215,Denver,Atlanta,Georgia,6.05,3
780,720,Dallas,Atlanta,Georgia,5.86,3
720,595,Chicago,Atlanta,Georgia,5.71,3
565,464,Columbus,Atlanta,Georgia,5.71,3
0,0,Atlanta GA,Atlanta,Georgia,5.49,2
440,393,Orlando Florida,Atlanta,Georgia,5.71,2
700,620,Harrisburg,Atlanta,Georgia,5.86,3
540,461,Indianapolis,Atlanta,Georgia,5.71,3
2171,1845,Boise,Atlanta,Georgia,6.37,4
2030,1748,Ontario,Sycamore,Illinois,6.18,4
2080,1832,Stockton ,Sycamore,Illinois,6.18,5
2050,1735,Tacoma,Sycamore,Illinois,6.18,4
1000,835,Denver,Sycamore,Illinois,5.86,3
970,765,Dallas,Sycamore,Illinois,5.86,3
65,54,Chicago,Sycamore,Illinois,5.49,2
385,320,Columbus,Sycamore,Illinois,5.71,2
780,615,Atlanta GA,Sycamore,Illinois,5.86,3
1210,1025,Orlando Florida,Sycamore,Illinois,6.05,3
720,635,Harrisburg,Sycamore,Illinois,5.86,3
245,204,Indianapolis,Sycamore,Illinois,5.64,2
1641,1430,Boise,Sycamore,Illinois,13.21,4
2650,2288,Ontario,Arlington,Virginia,6.37,5
2810,2420,Stockton ,Arlington,Virginia,6.37,5
2780,2320,Tacoma,Arlington,Virginia,6.37,5
1660,1478,Denver,Arlington,Virginia,6.18,4
