FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Atlanta,Brooklyn,NY,Size L,14.1,2,UPS® Ground
Atlanta,Houston,TX,Size L,14.1,2,UPS® Ground
Atlanta,Phoenix,AZ,Size L,16.29,3,UPS® Ground
Atlanta,San Antonio,TX,Size L,14.1,2,UPS® Ground
Atlanta,Chicago,IL,Size L,14.1,2,UPS® Ground
Atlanta,Austin,TX,Size L,14.1,2,UPS® Ground
Atlanta,Charlotte,NC,Size L,8.37,1,UPS® Ground
Atlanta,New York,NY,Size L,14.1,2,UPS® Ground
Atlanta,Atlanta,GA,Size L,7.95,1,UPS® Ground
Atlanta,Orlando,FL,Size L,8.73,2,UPS® Ground
Atlanta,Las Vegas,NV,Size L,16.29,4,UPS® Grounds
Atlanta,Colorado Springs,CO,Size L,15.25,3,UPS® Ground
Atlanta,Marble Falls,TX,Size L,14.1,2,UPS® Ground
Atlanta,San Diego,CA,Size L,17.29,3,UPS® Ground
Atlanta,Tampa,FL,Size L,10.54,2,UPS® Ground
Atlanta,Jacksonville,FL,Size L,8.37,1,UPS® Ground
Atlanta,Louisville,KY,Size L,8.73,2,UPS® Ground
Atlanta,Marietta,GA,Size L,7.95,1,UPS® Ground
Atlanta,Raleigh,NC,Size L,8.73,2,UPS® Ground
Atlanta,Fort Worth,TX,Size L,14.1,2,UPS® Ground
Atlanta,Oklahoma City,OK,Size L,14.1,2,UPS® Ground
Atlanta,Chesapeake,VA,Size L,8.73,2,UPS® Ground
Atlanta,Dallas,TX,Size L,14.1,2,UPS® Ground
Atlanta,Denver,CO,Size L,15.25,3,UPS® Ground
Atlanta,Miami,FL,Size L,8.73,2,UPS® Ground
Atlanta,Omaha,NE,Size L,14.1,3,UPS® Ground
Atlanta,Pittsburgh,PA,Size L,8.73,2,UPS® Ground
Atlanta,Portland,OR,Size L,17.29,4,UPS® Ground
Atlanta,San Francisco,CA,Size L,17.29,4,UPS® Ground
Atlanta,San Jose,CA,Size L,17.29,4,UPS® Ground
Atlanta,Tucson,AZ,Size L,16.29,3,UPS® Ground
Atlanta,Virginia Beach,VA,Size L,8.73,2,UPS® Ground
