FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Atlanta,Brooklyn,NY,Size S,7.0,2,UPS® Ground
Atlanta,Houston,TX,Size S,7.0,2,UPS® Ground
Atlanta,Phoenix,AZ,Size S,8.18,3,UPS® Ground
Atlanta,San Antonio,TX,Size S,7.0,2,UPS® Ground
Atlanta,Chicago,IL,Size S,7.0,2,UPS® Ground
Atlanta,Austin,TX,Size S,7.0,2,UPS® Ground
Atlanta,Charlotte,NC,Size S,6.56,1,UPS® Ground
Atlanta,New York,NY,Size S,7.0,2,UPS® Ground
Atlanta,Atlanta,GA,Size S,6.48,1,UPS® Ground
Atlanta,Orlando,FL,Size S,6.69,2,UPS® Ground
Atlanta,Las Vegas,NV,Size S,8.18,4,UPS® Ground
Atlanta,Colorado Springs,CO,Size S,7.95,3,UPS® Ground
Atlanta,Marble Falls,TX,Size S,7.0,2,UPS® Ground
Atlanta,San Diego,CA,Size S,8.7,3,UPS® Ground
Atlanta,Tampa,FL,Size S,6.52,2,UPS® Ground
Atlanta,Jacksonville,FL,Size S,6.56,1,UPS® Ground
Atlanta,Louisville,KY,Size S,6.69,2,UPS® Ground
Atlanta,Marietta,GA,Size S,6.48,1,UPS® Ground
Atlanta,Raleigh,NC,Size S,6.69,2,UPS® Ground
Atlanta,Fort Worth,TX,Size S,7.0,2,UPS® Ground
Atlanta,Oklahoma City,OK,Size S,7.0,2,UPS® Ground
Atlanta,Chesapeake,VA,Size S,6.69,2,UPS® Ground
Atlanta,Dallas,TX,Size S,7.0,2,UPS® Ground
Atlanta,Denver,CO,Size S,7.95,3,UPS® Ground
Atlanta,Miami,FL,Size S,6.69,2,UPS® Ground
Atlanta,Omaha,NE,Size S,7.0,3,UPS® Ground
Atlanta,Pittsburgh,PA,Size S,6.69,2,UPS® Ground
Atlanta,Portland,OR,Size S,8.7,4,UPS® Ground
Atlanta,San Francisco,CA,Size S,8.61,4,UPS® Ground
Atlanta,San Jose,CA,Size S,8.7,4,UPS® Ground
Atlanta,Tucson,AZ,Size S,8.18,3,UPS® Ground
Atlanta,Virginia Beach,VA,Size S,6.69,2,UPS® Ground
Atlanta,Albuquerque,NM,Size S,7.95,3,UPS® Ground
Atlanta,Canton,GA,Size S,6.48,1,UPS® Ground
Atlanta,Gilbert,AZ,Size S,8.18,3,UPS® Ground
Atlanta,Kansas City,MO,Size S,7.0,2,UPS® Ground
Atlanta,Nashville,TN,Size S,6.56,2,UPS® Ground
Atlanta,Saint Louis,MO,Size S,6.69,2,UPS® Ground
Atlanta,Seattle,WA,Size S,8.7,4,UPS® Ground
Atlanta,Boise,ID,Size S,8.7,3,UPS® Ground
Atlanta,Indianapolis,IN,Size S,6.69,2,UPS® Ground
Atlanta,Knoxville,TN,Size S,6.56,2,UPS® Ground
Atlanta,Reno,NV,Size S,8.7,4,UPS® Ground
Atlanta,Rochester,NY,Size S,7.0,2,UPS® Ground
Atlanta,Bismarck,ND,Size S,7.95,3,UPS® Ground
