FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Ontario,Brooklyn,NY,Size S,9.16,4,UPS® Ground
Ontario,Brooklyn,NY,Size M,11.97,4,UPS® Ground
Ontario,Brooklyn,NY,Size L,17.29,4,UPS® Ground
Ontario,Phoenix,AZ,Size S,7.45,2,UPS® Ground
Ontario,Phoenix,AZ,Size M,8.86,2,UPS® Ground
Ontario,Phoenix,AZ,Size L,14.1,2,UPS® Ground
Ontario,Houston,TX,Size S,8.71,3,UPS® Ground
Ontario,Houston,TX,Size M,11.0,3,UPS® Ground
Ontario,Houston,TX,Size L,16.29,3,UPS® Ground
Ontario,San Antonio,TX,Size S,8.71,3,UPS® Ground
Ontario,San Antonio,TX,Size M,11.0,3,UPS® Ground
Ontario,San Antonio,TX,Size L,16.29,3,UPS® Ground
Ontario,Jacksonville,FL,Size S,9.25,4,UPS® Ground
Ontario,Jacksonville,FL,Size M,12.06,4,UPS® Ground
Ontario,Jacksonville,FL,Size L,17.29,4,UPS® Ground
Ontario,Chicago,IL,Size S,9.25,3,UPS® Ground
Ontario,Chicago,IL,Size M,12.06,3,UPS® Ground
Ontario,Chicago,IL,Size L,17.29,3,UPS® Ground
Ontario,Dallas,TX,Size S,8.71,3,UPS® Ground
Ontario,Dallas,TX,Size M,11.0,3,UPS® Ground
Ontario,Dallas,TX,Size L,16.29,3,UPS® Ground
Ontario,Wilmington,DE,Size S,9.25,4,UPS® Ground
Ontario,Wilmington,DE,Size M,12.06,4,UPS® Ground
Ontario,Wilmington,DE,Size L,17.29,4,UPS® Ground
Ontario,Austin,TX,Size S,8.45,3,UPS® Ground
Ontario,Austin,TX,Size M,10.4,3,UPS® Ground
Ontario,Austin,TX,Size L,15.29,3,UPS® Ground
Ontario,Canton,OH,Size S,9.25,4,UPS® Ground
Ontario,Canton,OH,Size M,12.06,4,UPS® Ground
Ontario,Canton,OH,Size L,17.29,4,UPS® Ground
Ontario,Charlotte,NC,Size S,9.25,4,UPS® Ground
Ontario,Charlotte,NC,Size M,12.06,4,UPS® Ground
Ontario,Charlotte,NC,Size L,17.29,4,UPS® Ground
Ontario,New York,NY,Size S,9.25,4,UPS® Ground
Ontario,New York,NY,Size M,12.06,4,UPS® Ground
Ontario,New York,NY,Size L,17.29,4,UPS® Ground
Ontario,Atlanta,GA,Size S,9.25,4,UPS® Ground
Ontario,Atlanta,GA,Size M,12.06,4,UPS® Ground
Ontario,Atlanta,GA,Size L,17.29,4,UPS® Ground
Ontario,Franklin,TN,Size S,9.25,4,UPS® Ground
Ontario,Franklin,TN,Size M,12.06,4,UPS® Ground
Ontario,Franklin,TN,Size L,17.29,4,UPS® Ground
Ontario,Lexington,KY,Size S,9.25,4,UPS® Ground
Ontario,Lexington,KY,Size M,12.06,4,UPS® Ground
Ontario,Lexington,KY,Size L,17.29,4,UPS® Ground
Ontario,Orlando,FL,Size S,9.25,4,UPS® Ground
Ontario,Orlando,FL,Size M,12.06,4,UPS® Ground
Ontario,Orlando,FL,Size L,17.29,4,UPS® Ground
Ontario,Rochester,NY,Size S,9.25,5,UPS® Ground
Ontario,Rochester,NY,Size M,12.06,5,UPS® Ground
Ontario,Rochester,NY,Size L,17.29,5,UPS® Ground
Ontario,Las Vegas,NV,Size S,6.56,1,UPS® Ground
Ontario,Las Vegas,NV,Size M,8.24,1,UPS® Ground
Ontario,Las Vegas,NV,Size L,9.94,1,UPS® Ground
Ontario,Louisville,KY,Size S,9.25,4,UPS® Ground
Ontario,Louisville,KY,Size M,12.06,4,UPS® Ground
Ontario,Louisville,KY,Size L,17.29,4,UPS® Ground
Ontario,Marietta,GA,Size S,9.25,4,UPS® Ground
Ontario,Marietta,GA,Size M,12.06,4,UPS® Ground
Ontario,Marietta,GA,Size L,17.29,4,UPS® Ground
Ontario,Colorado Springs,CO,Size S,7.45,2,UPS® Ground
Ontario,Colorado Springs,CO,Size M,8.86,2,UPS® Ground
Ontario,Colorado Springs,CO,Size L,14.1,2,UPS® Ground
Ontario,Columbus,OH,Size S,9.25,4,UPS® Ground
Ontario,Columbus,OH,Size M,12.06,4,UPS® Ground
Ontario,Columbus,OH,Size L,17.29,4,UPS® Ground
Ontario,Marble Falls,TX,Size S,8.45,3,UPS® Ground
Ontario,Marble Falls,TX,Size M,10.4,3,UPS® Ground
Ontario,Marble Falls,TX,Size L,15.29,3,UPS® Ground
Ontario,Tampa,FL,Size S,9.25,4,UPS® Ground
