FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Ontario,Brooklyn,NY,Size S,9.16,4,UPS® Ground
Ontario,Phoenix,AZ,Size S,7.45,2,UPS® Ground
Ontario,Houston,TX,Size S,8.71,3,UPS® Ground
Ontario,San Antonio,TX,Size S,8.71,3,UPS® Ground
Ontario,Jacksonville,FL,Size S,9.25,4,UPS® Ground
Ontario,Chicago,IL,Size S,9.25,3,UPS® Ground
Ontario,Dallas,TX,Size S,8.71,3,UPS® Ground
Ontario,Wilmington,DE,Size S,9.25,4,UPS® Ground
Ontario,Austin,TX,Size S,8.45,3,UPS® Ground
Ontario,Canton,OH,Size S,9.25,4,UPS® Ground
Ontario,Charlotte,NC,Size S,9.25,4,UPS® Ground
Ontario,New York,NY,Size S,9.25,4,UPS® Ground
Ontario,Atlanta,GA,Size S,9.25,4,UPS® Ground
Ontario,Franklin,TN,Size S,9.25,4,UPS® Ground
Ontario,Lexington,KY,Size S,9.25,4,UPS® Ground
Ontario,Orlando,FL,Size S,9.25,4,UPS® Ground
Ontario,Rochester,NY,Size S,9.25,5,UPS® Ground
Ontario,Las Vegas,NV,Size S,6.75,1,UPS® Ground
Ontario,Louisville,KY,Size S,9.25,4,UPS® Ground
Ontario,Marietta,GA,Size S,9.25,4,UPS® Ground
Ontario,Colorado Springs,CO,Size S,7.45,2,UPS® Ground
Ontario,Columbus,OH,Size S,9.25,4,UPS® Ground
Ontario,Marble Falls,TX,Size S,8.45,3,UPS® Ground
Ontario,Tampa,FL,Size S,9.25,4,UPS® Ground
Ontario,San Diego,CA,Size S,6.65,1,UPS® Ground
Ontario,Columbia,SC,Size S,9.25,4,UPS® Ground
Ontario,Greenville,SC,Size S,9.25,4,UPS® Ground
Ontario,Lebanon,TN,Size S,9.25,4,UPS® Ground
Ontario,Salem,OR,Size S,7.45,3,UPS® Ground
Ontario,Cleveland,OH,Size S,9.25,4,UPS® Ground
Ontario,Denver,CO,Size S,7.45,3,UPS® Ground
Ontario,Omaha,NE,Size S,8.45,4,UPS® Ground
Ontario,Portland,OR,Size S,7.45,3,UPS® Ground
Ontario,Raleigh,NC,Size S,9.25,4,UPS® Ground
Ontario,Richmond,VA,Size S,9.25,4,UPS® Ground
Ontario,Jackson,MS,Size S,8.71,4,UPS® Ground
Ontario,Albany,NY,Size S,9.25,5,UPS® Ground
Ontario,Fort Worth,TX,Size S,8.45,3,UPS® Ground
Ontario,Oklahoma City,OK,Size S,8.45,3,UPS® Ground
Ontario,Chesapeake,VA,Size S,9.25,4,UPS® Ground
Ontario,Miami,FL,Size S,9.25,4,UPS® Ground
Ontario,Milford,CT,Size S,9.25,5,UPS® Ground
Ontario,Pittsburgh,PA,Size S,9.25,4,UPS® Ground
Ontario,San Francisco,CA,Size S,6.84,2,UPS® Ground
